KC(Default),KC(Default),KC(Default),KC(Default),KC(Default),Problem Hierarchy,Problem Hierarchy,Problem Hierarchy,Problem Hierarchy,Problem Hierarchy,Problem Name,Problem Name,Problem Name,Problem Name,Problem Name,Step Name,Step Name,Step Name,Step Name,Step Name,Problem View,Problem View,Problem View,Problem View,Corrects,Corrects,Incorrects,Incorrects,Hints,Hints,Opportunity(Default),Opportunity(Default),Opportunity(Default),Opportunity(Default),Opportunity(Default),Step Duration (sec),Step Duration (sec),Step Duration (sec),Step Duration (sec),Step Duration (sec),Correct Step Duration (sec),Correct Step Duration (sec),Correct Step Duration (sec),Correct Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Error Step Duration (sec),Error Step Duration (sec),Error Step Duration (sec)
Missing,Entering_a_given,Using_simple_numbers,Using_small_numbers,Identifying_units,"Problem Hierarchy_Unit CTA1_08, Section CTA1_08-3","Problem Hierarchy_Unit CTA1_13, Section CTA1_13-1","Problem Hierarchy_Unit CTA1_01, Section CTA1_01-3","Problem Hierarchy_Unit CTA1_02, Section CTA1_02-4","Problem Hierarchy_Unit CTA1_06, Section CTA1_06-4",Problem Name_EG44,Problem Name_NOV13,Problem Name_REAL28,Problem Name_DEC04,Problem Name_PROP01,Step Name_R3C2,Step Name_R1C1,Step Name_R3C1,Step Name_R5C1,Step Name_R4C1,Low,Medium,High,Very_High,Few,Many,Few,Many,Few,Many,Opp_3,Opp_1,Opp_2,Opp_5,Opp_4,SD_1,SD_6,SD_8,SD_14,SD_11,CSD_9,CSD_1,CSD_6,CSD_2,CSD_13,ESD_3,ESD_1,ESD_2,ESD_4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
